#台羅	漢字（按次數）
tuan7	斷 緞 傳 段 鍛 篆 塅 椴 籪 音 煅 瑑
tuann1	單 端 蛋 奇 丹
tuann2	叕
tuann3	旦 妲 遰
tuann5	彈 壇 傳 檀 痘 撣
tuann7	段 憚 惰 彈 文 大 舵 懶 癉 怠 撣
tuannh8	挱 抄 搓
tuat4	綴 剟 掇 惙 輟 裰 啜 醊 餟 文 敪 叕
tuat8	奪
tue2	底 貯 抵 短 桳 迹 錁 扺
tue3	逫 對 逮 綴 隶 地 從 貯 隨 處 遰 䟾 醊 餟 帨
tue5	題 蹄 頹 兌 疏 堆 啼 釵 鷈 魋 虒
tue7	地 第 兌 苧 逫 柵 土 遞 獄 朴 澎 窨
tueh4	脞
tueh8	隘 達 窄 迭
tuh4	厾 篤 啄 椓 拄 突
tuh8	突 揬 吶 擇 拄
tui1	堆 追 敦
tui2	對 墜 敦
tui3	對 隊 碓 敦 貴 校 墜 闇 憝 遒
tui5	搥 槌 椎 捶 錘 鎚
tui7	隊 墜 兌 墮 膇 對 懟 縋 錘 倕 敦 錞 㔣
tuinn3	援
tun1	鈍 屯 敦 鐓 蹲 墩 撴 礅 鶉 頓 忳 惇 窀 燉 噸 迍 諄 文 蹾 驐 肫 衠 埻 䃦 輴
tun2	盾 躉 腯 囤 楯 礅 頓 燉 屯 䃦 扽 鐓 𣎴 盹 砘 𦧊 炖
tun3	頓 噸 扽 鈍 㩐 屯 鐓
tun5	唇 屯 脣 臀 頓 豚 包 純 囤 忳 飩 魨
tun7	鈍 燉 沌 屯 遁 腯 忳 盾 囤 楯 呔 遯 敦 鐓 憝 躉 砘 飩
tut4	頓 腯 咄 榾 絀
tut8	突 凸 咄 唐 腯 𢫫 揬 音 卒 柮
u1	於 污 汙 窩 烏 嗚 骬 洿 肟 迂 于 圩 惡 屋 居 菸 巫 盱 樗 淤 瘀 五 憐 趺 沾 芋 𩨗 趶 侉 恂 吁 訏 𧿉 圬 紆
u2	與 雨 惡 羽 宇 予 禹 鶩 痦 寓 物 傴 喣 噢 瘐 漳 有 愈 焐 吚 污 卼 靰 䛩 兀 嫗 癒 勿 戊 迕 牾 塢 騖 庾 楀 窳
u3	污 焐 煦 迂 有 汙 熓 淤 扝 飫 燠 嫗 昫 栩 塢 瘀 雨 熨 浯 灸 酗 雩
u5	餘 於 畬 于 輿 余 雩 無 與 予 无 榆 竽 毋 揄 伃 邘 妤 盂 舁 隃 歟 旟 亡 蕪 蜈 巫 芋 梧 鋙 吾 覦 䉑 臾 藇 鱮 萸 唔 捂 杅 玗 俞 狳 崳 愉 渝 腴 瑜 逾 窬 蝓 諛 踰
u7	有 預 譽 與 豫 五 芋 媕 雩 澦 喻 雨 市 禦 污 裕 籲 彊 舁 諭 蕷
ua1	哇 呱 凹 蛙 窪 挖 媧 娃 蝸 洼 倚 騧 佤 窊 唲 踒 喎
ua2	倚 瓦 袜 旁 襪 依 膃
ua3	化 哇 發 怎 晏 𡧗
ua5	何 哇 唲 玩
ua7	畫 瓦 話 搲
uah4	哇
uah8	活 動 復 話 斡 噍
uai1	歪 彎 喎 冤 𨂿 喂 椏
uai2	𨂿 歪 𨀤 踒
uaih8	㗏
uainn1	歪 彎 冤 挨 椏 灣
uainn2	𨂿 歪 𨀤
uainn7	椏
uainnh4	𨂿 斡 歪 轕 輵
uainnh8	㗏 歪 轟
uak4	喔
uan1	彎 冤 灣 鴛 剜 怨 宛 苑 帵 鵷 悁 蜿 豌 眢 腕 歪 蠃 菀
uan2	遠 玩 婉 腕 宛 苑 莞 惋 豌 琬 菀 畹 碗 綰 蔓 箢 脘 翫 皖 晚 䘼 頑 窵 剜 帵 兗 涴 薳 踠
uan3	怨 惋 宛 援 苑
uan5	完 灣 員 丸 圓 園 援 轅 彎 篔 莞 猿 紈 烷 圜 玩 元 萑 楦 媛 刓 芄 爰 袁 湲 隕 話 原 源 垣 腎 朴 頑 蜿 蜎 垸
uan7	援 緩 媛 遠 院 瑗 宦 掾
uang1	汪
uang2	望 音 往 王 旺 忘 妄
uang5	忘 音 王 芒 罔
uann1	鞍 安 頞 擱
uann2	碗 腕 晏 呱 缺 椀
uann3	晏 案 文 換
uann5	呱 哇
uann7	換 旱
uat4	斡 越 曰 挖 噦 軋 汨
uat8	越 閱 粵 悅 曰 鉞 斡 粤 樾 說 室 汩 嗢
ue1	挨 鍋 喂 萵 椏 煨 堝 碨 崴 偎 隈 痿 乾 揣 坩 倭 鰃 猥
ue2	矮 喂 啞 語 碨 唩 猥
ue3	穢 話 會 掗 迂 挩 噦 劌 聵 濊
ue5	鞋 捱 唯 為 喂 惟 欸
ue7	會 話 畫 衛 劃 繪 能 躗 拍 噍 讆
ueh4	挖 劃 狹 畫
ueh8	劃 畫 狹 隘
uh4	噎
uh8	噎 呃 𠽵 噔 燠
ui1	威 揻 衣 委 逶 葳 挖 窩 虧 萎 喂 磑 踒 痿
ui2	委 偉 葦 萎 瑋 緯 韋 諉 偽 骫 唯 洧 煒 鮪 韙 壝 為 矮 芛 挼 喟 湋 痏 猥 痿 蘤 韡 餧
ui3	畏 慰 對 位 尉 飫 蔚 喂 由 緯 餵 有 為 熨 潰 薳 餧 霨 䲁
ui5	為 圍 違 維 遺 帷 惟 唯 韋 圩 闈 芛 溈 囗 桅 幃 湋 潿 壁 屏 隗 褘 啎
ui7	位 為 謂 胃 畫 衛 蝟 渭 緯 揻 匱 偽 魏 對 音 市 遺 磑 壝
uih4	挖
uih8	劃 畫
uinn7	暈
un1	溫 恩 瘟 蝹 殷 縕 熅 冤 榲 鰮 搵 氳 文 泉 沾 涒 塭 蘊 迄 蚓 燖 轀 溳 薀
un2	穩 隱 允 𤸫 蚓 文 癮 璺 隕 引 尹 殞 晚 吮 溳 狁 問 紋 藏 芛 佝 殷 媼 䌥 檃 韞 惲
un3	搵 蘊 慍 醞 塭 縕 溫 韞 運 蘸 媼 摁 熅
un5	勻 緩 云 雲 文 芸 运 熅 紜 聞 員 輪 溫 蚊 耘 溳 鄖 筠 篔 璺 炆 畇 鋆 蕓
un7	運 韻 暈 隱 鄆 為 併 斡 搵 員 奮 痡 熅
ut4	鬱 熨 屈 苑 慍 蔚 軋 尉 膃 𣡸 燙 𠽵 迄 穵 媼 菀 熅 榲 黦 捥
ut8	聿 䢖 鷸 鬱 燏 物 矞 遹 鴥
